"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Myles Turner","IND","PF,C ","14.2","7.5","1.3","1.8","0.8",".496",".790","0.8","79","29.2","1.4"
"Trae Young","ATL","PG","14.0","3.0","6.2","0.2","1.0",".402",".880","1.9","78","29.3","3.3"
"Rudy Gay","SAS","SF,PF","13.9","6.0","2.1","0.8","1.2",".451",".804","1.1","75","27.2","1.7"
"Tyreke Evans","IND","PG,SG ","13.9","4.0","3.9","0.2","1.0",".450",".777","1.5","73","25.7","1.7"
"Avery Bradley","MEM","PG,SG","13.7","4.3","1.8","0.2","1.1",".447",".750","1.7","76","26.8","1.6"
"Clint Capela","HOU","PF,C","13.7","10.8","1.0","1.9","0.8",".639",".544","0.0","79","31.0","1.4"
"Rudy Gobert","UTH","C","13.7","12.0","1.3","2.5","0.8",".632",".669","0.0","77","34.5","2.0"
"Jaylen Brown","BOS","SG,SF","13.7","4.9","1.6","0.6","1.3",".475",".677","1.9","80","32.5","1.4"
"Marvin Bagley III","SAC","PF","13.6","6.8","1.9","0.8","0.8",".476",".744","0.5","77","28.7","1.8"
"Jeff Teague","MIN","PG","13.6","3.4","6.5","0.3","1.4",".445",".853","1.2","77","31.8","2.5"
"Jusuf Nurkic","POR","C","13.6","9.2","1.9","1.4","0.9",".499",".612","0.0","79","26.2","2.4"
"Nikola Mirotic","MIL","SF,PF","13.6","6.3","1.4","0.7","0.9",".446",".805","2.3","80","25.5","1.1"
"Otto Porter Jr.","CHI","SF,PF","13.5","6.3","2.0","0.5","1.5",".503",".825","1.7","81","32.3","0.8"
"Buddy Hield","SAC","SG","13.5","3.8","2.0","0.3","1.0",".439",".863","2.3","81","28.7","1.6"
"Nicolas Batum","CHA","SG,SF","13.4","5.3","5.5","0.4","1.1",".410",".847","1.7","76","32.6","2.4"
"Hassan Whiteside","MIA","C","13.4","11.2","0.7","1.8","0.6",".560",".658","0.0","77","26.3","1.8"
"Dennis Schroder","OKC","PG ","13.3","2.3","4.2","0.1","0.8",".449",".848","0.8","78","25.7","2.1"
"Al Horford","BOS","PF,C","13.3","7.5","4.5","1.2","0.7",".496",".794","1.3","79","31.9","1.7"
"Jeremy Lin","TOR","PG,SG","13.2","3.3","4.9","0.4","1.0",".430",".821","1.3","70","25.1","2.3"
"Kevin Knox","NYK","SF,PF","13.1","5.8","1.7","0.8","0.8",".462",".741","0.4","77","33.4","1.4"
"Serge Ibaka","TOR","PF,C","13.1","6.5","1.0","1.3","0.5",".486",".832","1.7","78","25.8","1.3"
"Isaiah Thomas","DEN","PG","13.1","1.9","3.8","0.1","0.6",".438",".893","1.6","74","25.5","2.0"
"Jonathon Simmons","PHI","SG,SF","13.0","2.9","2.7","0.2","0.8",".437",".778","1.2","80","28.7","1.8"
"Jonas Valanciunas","MEM","C ","13.0","9.5","1.1","1.0","0.4",".565",".809","0.5","80","25.1","1.6"
"Elfrid Payton","NOR","PG","12.9","4.5","6.9","0.4","1.3",".496",".666","0.7","79","29.3","2.3"
"Carmelo Anthony","FA","SF,PF ","12.9","4.2","1.8","0.3","0.6",".442",".808","1.8","79","30.1","1.4"
"Steven Adams","OKC","C","12.7","8.4","1.1","1.0","1.1",".613",".577","0.0","80","31.0","1.7"
"Collin Sexton","CLE","PG","12.6","2.8","5.0","0.3","1.2",".429",".780","0.8","79","28.7","2.5"
"Rondae Hollis-Jefferson","BKN","SF,PF","12.6","7.1","2.5","0.8","1.0",".463",".774","0.2","78","30.4","1.8"
"Tyler Johnson","PHO","PG,SG","12.6","3.7","2.7","0.5","1.0",".437",".787","1.5","80","29.0","1.2"
"Bogdan Bogdanovic","SAC","SG,SF","12.6","3.1","3.5","0.3","1.0",".448",".836","1.8","79","29.3","1.3"
"Ricky Rubio","UTH","PG","12.4","4.6","6.8","0.2","1.7",".413",".879","1.1","80","31.6","2.7"
"Josh Richardson","MIA","PG,SG,SF","12.3","3.4","2.8","0.8","1.5",".436",".825","1.7","80","34.1","1.6"
"Bojan Bogdanovic","IND","SG,SF","12.3","4.7","1.6","0.3","1.1",".484",".732","1.1","79","28.0","1.3"
"Kent Bazemore","ATL","SG,SF","12.3","3.8","3.2","0.6","1.4",".414",".765","1.5","77","29.6","2.3"
"Jeremy Lamb","CHA","SG,SF","12.2","3.8","2.2","0.4","0.7",".456",".858","1.2","79","24.1","1.1"
"Darren Collison","IND","PG,SG","12.2","2.5","4.7","0.2","1.2",".487",".869","1.2","78","27.6","1.4"
"Kentavious Caldwell-Pope","LAL","SG,SF","12.2","3.7","2.0","0.2","1.2",".433",".808","1.9","78","29.7","1.1"
"Derrick Favors","UTH","PF,C","12.2","7.3","1.3","1.1","0.9",".537",".640","0.1","77","30.7","1.3"
"Allen Crabbe","BKN","SG,SF","12.1","3.7","1.4","0.4","0.6",".434",".848","2.2","80","28.5","1.0"
"DeMarre Carroll","BKN","SF,PF","12.1","5.8","1.7","0.4","0.9",".411",".758","2.0","77","30.8","1.3"
"Markieff Morris","NOR","PF,C","12.1","5.7","1.8","0.5","0.9",".467",".823","1.0","79","28.8","1.6"
"Jordan Clarkson","CLE","PG,SG","12.1","2.5","2.7","0.1","0.6",".441",".807","1.4","79","27.6","1.6"
"George Hill","MIL","PG,SG","12.1","2.7","3.9","0.4","0.8",".457",".799","1.7","75","26.7","1.5"
"Willie Cauley-Stein","SAC","PF,C","12.0","6.4","2.1","0.9","1.1",".514",".642","0.0","79","30.4","1.4"
"Taurean Prince","ATL","SF","12.0","4.3","2.3","0.5","1.0",".425",".830","1.6","78","30.2","2.2"
"James Johnson","MIA","SF,PF ","11.9","5.0","3.8","1.0","1.1",".493",".707","1.0","79","26.4","1.8"
"Trey Burke","DAL","PG","11.9","1.9","4.4","0.1","0.6",".474",".677","1.1","77","28.2","1.3"
"D.J. Augustin","ORL","PG","11.5","2.3","4.5","0.0","0.7",".428",".851","1.8","79","31.7","1.8"
"DeAndre Jordan","NYK","C","11.5","13.9","1.4","1.2","0.6",".665",".514","0.0","81","31.9","1.6"
"Caris LeVert","BKN","SF,SG","11.5","3.7","3.7","0.5","1.1",".448",".720","1.2","78","26.0","1.4"
"Thaddeus Young","IND","SF,PF","11.3","5.4","1.5","0.3","1.3",".485",".600","1.0","79","26.3","1.4"
"Wesley Matthews","IND","SG,SF","11.3","2.8","2.4","0.2","1.0",".408",".819","1.4","76","27.8","1.2"
"Dirk Nowitzki","DAL","PF,C","11.1","5.2","1.4","0.6","0.5",".451",".888","1.6","75","22.7","0.7"
"Jamal Crawford","PHO","SG,SF","10.9","1.3","2.2","0.1","0.6",".414",".887","1.4","65","21.7","1.3"
"Robert Covington","MIN","SF,PF ","10.9","4.7","2.7","0.5","1.3",".432",".803","2.2","82","25.1","1.6"
"Draymond Green","GSW","PF,C","10.9","8.1","6.8","1.4","1.7",".443",".737","1.1","79","33.8","2.8"
"Taj Gibson","MIN","PF,C","10.9","6.5","1.1","0.8","0.7",".550",".754","0.1","82","31.8","1.1"
"Frank Kaminsky","CHA","PF,C","10.8","3.7","1.7","0.4","0.6",".418",".778","1.4","79","21.2","0.9"
"Kris Dunn","CHI","PG,SG","10.8","4.1","5.5","0.5","2.0",".409",".708","0.8","77","31.6","2.6"
"Kelly Olynyk","MIA","PF,C","10.7","5.3","2.3","0.5","0.8",".500",".754","1.2","79","23.9","1.7"
"Michael Porter Jr.","DEN","PF ","10.7","4.2","1.8","0.4","0.9",".448",".796","1.4","55","19.7","1.2"
