"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Nikola Vucevic","ORL","PF,C","15.3","9.4","3.0","0.9","0.9",".486",".722","0.5","76","28.0","1.7"
"Carmelo Anthony","FA","SF,PF ","15.3","5.0","2.1","0.3","0.7",".428",".819","1.6","76","34.0","1.5"
"Dennis Schroder","OKC","PG ","15.2","2.8","5.1","0.2","0.9",".449",".851","1.1","80","33.0","2.5"
"Myles Turner","IND","PF,C ","14.9","7.3","1.5","1.8","0.9",".504",".797","0.6","79","33.0","1.4"
"Jeff Teague","MIN","PG","14.7","3.5","7.0","0.4","1.4",".443",".848","1.3","80","33.0","2.6"
"Avery Bradley","MEM","PG,SG","14.7","4.4","2.1","0.2","1.3",".441",".762","2.0","77","33.0","1.7"
"Gary Harris","DEN","SG,SF","14.7","3.0","2.6","0.2","1.5",".480",".812","1.9","78","31.0","1.5"
"Deandre Ayton","PHO","C,PF","14.7","10.6","2.3","1.3","0.6",".529",".700","0.6","82","0","2.0"
"Eric Gordon","HOU","SG","14.6","2.6","2.2","0.4","0.7",".406",".835","2.9","77","29.0","1.5"
"Reggie Jackson","DET","PG,SG","14.6","2.7","5.2","0.1","0.7",".423",".856","1.3","78","28.0","2.4"
"Aaron Gordon","ORL","SF,PF","14.5","6.1","2.4","0.6","0.9",".455",".714","1.3","80","30.0","1.4"
"Rodney Hood","POR","SG,SF","14.3","3.4","2.2","0.3","0.8",".407",".813","2.1","76","32.0","1.3"
"Hassan Whiteside","MIA","C","14.3","12.0","0.7","2.1","0.7",".567",".637","0.0","79","32.0","1.9"
"TJ Warren","PHO","SF ","13.9","4.5","1.4","0.6","1.1",".493",".767","0.7","72","31.0","0.9"
"Andre Drummond","DET","PF,C","13.9","14.6","1.5","1.6","1.5",".528",".441","0.0","82","30.0","2.1"
"Julius Randle","NOR","PF,C","13.9","8.7","3.2","0.6","0.7",".515",".715","0.1","77","29.5","2.2"
"Dario Saric","MIN","PF,C,SF","13.8","6.6","2.4","0.3","0.7",".426",".806","1.6","81","26.0","2.1"
"Dennis Smith Jr.","NYK","PG,SG","13.8","3.6","5.3","0.3","1.2",".404",".702","1.3","77","28.0","2.8"
"Enes Kanter","POR","C","13.7","7.9","1.1","0.5","0.4",".542",".811","0.1","78","21.0","1.6"
"Michael Porter Jr.","DEN","PF ","13.6","5.2","2.2","0.4","1.1",".465",".770","2.0","50","0","1.5"
"Nicolas Batum","CHA","SG,SF","13.5","5.6","5.5","0.4","1.1",".403",".844","1.9","67","33.5","2.4"
"Jusuf Nurkic","POR","C","13.5","9.7","2.2","1.5","1.0",".486",".605","0.0","74","29.0","2.6"
"Serge Ibaka","TOR","PF,C","13.4","6.7","1.0","1.5","0.4",".468",".819","1.9","80","31.0","1.4"
"Jeremy Lin","TOR","PG,SG","13.4","3.4","5.0","0.4","1.0",".425",".817","1.3","69","28.0","2.4"
"Al Horford","BOS","PF,C","13.3","7.3","4.2","1.2","0.8",".488",".794","1.3","77","32.0","1.6"
"Otto Porter Jr.","CHI","SF,PF","13.3","6.2","1.7","0.5","1.4",".492",".811","1.7","80","33.0","0.7"
"George Hill","MIL","PG,SG","13.2","3.2","3.8","0.3","0.9",".446",".784","1.7","72","31.0","1.5"
"Ben Simmons","PHI","PG,SF","13.2","8.2","5.6","0.6","1.4",".499",".631","0.1","77","30.0","2.7"
"Robert Covington","MIN","SF,PF ","13.1","6.1","1.6","0.8","1.6",".402",".821","2.5","75","30.0","1.8"
"Rudy Gobert","UTH","C","13.1","12.3","1.3","2.5","0.8",".641",".635","0.0","80","34.0","1.9"
"Buddy Hield","SAC","SG","13.0","3.7","1.9","0.2","0.8",".434",".845","2.3","81","30.0","1.5"
"Josh Jackson","PHO","SG,SF","12.9","5.1","2.5","0.6","1.2",".437",".622","0.8","77","27.0","2.1"
"Dirk Nowitzki","DAL","PF,C","12.9","5.5","1.5","0.6","0.5",".446",".883","1.5","74","26.0","0.8"
"Jayson Tatum","BOS","SF,PF","12.8","4.9","1.8","0.7","0.9",".456",".816","1.1","76","23.0","1.7"
"Elfrid Payton","NOR","PG","12.8","4.4","6.9","0.4","1.3",".492",".667","0.5","80","29.5","2.3"
"Markieff Morris","NOR","PF,C","12.6","6.2","1.8","0.6","1.0",".454",".816","1.0","76","31.0","1.7"
"Kentavious Caldwell-Pope","LAL","SG,SF","12.6","3.4","2.1","0.2","1.2",".425",".810","1.9","81","31.0","1.1"
"Dwight Howard","WAS","PF,C","12.6","11.2","1.3","1.2","0.8",".609",".534","0.0","76","28.0","2.1"
"Nikola Mirotic","MIL","SF,PF","12.5","6.1","1.4","0.8","0.9",".425",".793","2.2","76","27.5","1.3"
"Rudy Gay","SAS","SF,PF","12.5","5.3","1.8","0.6","1.1",".440",".813","0.9","75","26.0","1.6"
"Jamal Murray","DEN","PG,SG","12.4","3.2","2.5","0.4","0.8",".422",".889","1.8","80","26.0","1.7"
"Trae Young","ATL","PG","12.4","2.7","5.3","0.2","1.0",".405",".895","1.8","82","0","3.0"
"Brandon Ingram","LAL","SG,SF","12.3","4.7","2.9","0.6","0.7",".443",".653","0.9","80","30.0","1.9"
"Will Barton","DEN","SG,SF","12.2","4.4","2.9","0.5","0.8",".439",".786","1.5","77","22.0","1.6"
"Jonas Valanciunas","MEM","C ","12.2","9.1","0.9","0.9","0.4",".552",".797","0.1","80","26.0","1.5"
"Clint Capela","HOU","PF,C","12.2","9.3","1.0","1.6","0.8",".626",".503","0.0","78","26.0","1.2"
"Lauri Markkanen","CHI","PF,SG","12.1","6.1","1.0","0.4","0.6",".434",".817","1.5","65","20.0","1.1"
"Bojan Bogdanovic","IND","SG,SF","12.1","3.3","1.3","0.1","0.5",".453",".862","1.6","79","24.0","1.3"
"Wesley Matthews","IND","SG,SF","12.1","3.3","2.6","0.2","1.1",".398",".824","2.3","77","34.0","1.3"
"Seth Curry","POR","PG,SG","12.0","2.7","2.6","0.1","1.1",".479",".856","1.9","76","28.0","1.4"
"Darren Collison","IND","PG,SG","12.0","2.3","4.2","0.1","1.1",".473",".854","1.1","73","26.0","1.5"
"Allen Crabbe","BKN","SG,SF","12.0","3.4","1.4","0.3","0.7",".454",".857","2.0","80","28.0","0.9"
"Steven Adams","OKC","C","11.9","8.3","1.2","1.0","1.0",".590",".581","0.0","80","30.0","1.7"
"Norman Powell","TOR","SG,SF","11.9","3.3","1.7","0.3","1.0",".430",".800","1.3","75","26.0","1.3"
"Tyreke Evans","IND","PG,SG ","11.9","3.8","4.0","0.2","1.0",".444",".752","1.1","71","24.0","1.7"
"Ricky Rubio","UTH","PG","11.8","4.4","7.3","0.2","1.7",".402",".873","1.3","79","33.0","2.6"
"John Collins","ATL","PF,C","11.8","7.4","1.1","0.9","0.6",".541",".723","0.1","76","22.0","1.6"
"Luka Doncic","DAL","PG,SG ","11.8","4.4","4.0","0.3","1.0",".451",".770","1.2","82","0","1.4"
"Derrick Favors","UTH","PF,C","11.7","7.0","1.3","1.1","0.9",".527",".653","0.1","74","27.5","1.3"
"Jae Crowder","UTH","SF,PF","11.6","4.9","1.7","0.3","1.1",".432",".808","1.6","78","29.0","1.0"
"Marvin Bagley III","SAC","PF","11.6","5.9","1.7","0.7","0.8",".484",".720","0.7","82","0","1.3"
"James Johnson","MIA","SF,PF ","11.6","4.9","3.4","1.0","1.0",".480",".691","1.2","77","28.0","2.1"
"De'Aaron Fox","SAC","PG","11.5","2.8","4.5","0.2","1.0",".421",".722","0.5","77","24.0","2.2"
"Tyler Johnson","PHO","PG,SG","11.5","3.5","2.5","0.4","0.9",".440",".794","1.4","77","24.0","1.1"
"DeAndre Jordan","NYK","C","11.4","13.7","1.3","1.5","0.6",".683",".482","0.0","81","33.0","1.5"
"Wilson Chandler","LAC","SG,SF,PF ","11.4","5.3","1.6","0.4","0.6",".439",".742","1.4","70","28.5","1.2"
"Collin Sexton","CLE","PG","11.3","2.6","5.3","0.2","1.2",".437",".785","1.3","82","0","2.3"
"Jeremy Lamb","CHA","SG,SF","11.2","4.1","1.6","0.4","0.6",".447",".834","1.1","72","22.0","0.9"
"Kent Bazemore","ATL","SG,SF","11.1","3.8","2.8","0.6","1.2",".414",".748","1.4","77","28.0","2.0"
"Sean Kilpatrick","FA","PG,SG","11.1","2.9","1.7","0.1","0.5",".430",".850","1.3","70","20.0","1.5"
"Thaddeus Young","IND","SF,PF","11.1","6.4","1.7","0.4","1.6",".504",".574","0.6","79","29.0","1.3"
"Jaylen Brown","BOS","SG,SF","11.1","4.4","1.4","0.4","0.8",".467",".688","1.2","81","28.0","1.3"
"Draymond Green","GSW","PF,C","11.0","8.2","6.4","1.4","1.7",".443",".719","1.2","80","32.5","2.7"
"Malcolm Brogdon","MIL","PG,SG","10.9","3.2","4.0","0.2","1.1",".468",".865","1.1","79","28.0","1.5"
"Dwyane Wade","MIA","PG,SG","10.8","2.7","2.5","0.5","0.7",".439",".781","0.3","68","27.5","1.6"
"Frank Kaminsky","CHA","PF,C","10.8","4.0","1.9","0.4","0.6",".408",".775","1.4","79","24.5","0.9"
"Rondae Hollis-Jefferson","BKN","SF,PF","10.8","6.8","2.3","0.7","1.1",".462",".776","0.3","79","26.0","1.6"
"Caris LeVert","BKN","SF,SG","10.4","3.9","2.8","0.2","0.9",".450",".732","1.3","76","25.0","1.5"
"Pau Gasol","SAS","PF,C","10.4","8.1","2.5","1.2","0.4",".467",".748","0.5","76","26.0","1.3"
"Bogdan Bogdanovic","SAC","SG,SF","10.4","2.9","3.0","0.3","0.9",".437",".795","1.4","75","24.0","1.6"
"Patty Mills","SAS","PG","10.3","2.3","3.7","0.1","1.0",".407",".837","2.1","80","25.0","1.3"
"Milos Teodosic","LAC","PG,SG","10.3","2.6","4.5","0.2","0.6",".424",".810","1.9","76","25.0","2.0"
"Taurean Prince","ATL","SF","10.3","4.4","1.9","0.6","1.0",".419",".814","1.2","75","29.0","1.9"
"Marquese Chriss","CLE","PF,C","10.3","4.9","0.9","0.9","0.9",".441",".633","1.3","81","26.0","1.4"
"Skal Labissiere","POR","PF,C","10.2","5.2","1.2","0.5","0.5",".502",".748","0.3","74","24.0","1.3"
"Jamal Crawford","PHO","SG,SF","10.2","1.5","2.1","0.1","0.7",".400",".870","1.3","73","23.0","1.2"
"Willie Cauley-Stein","SAC","PF,C","10.2","5.8","1.5","0.8","1.0",".525",".654","0.0","77","26.0","1.2"
"C.J. Miles","MEM","SG,SF","10.2","2.6","0.7","0.3","0.6",".410",".843","2.3","77","27.0","0.6"
"Marcus Morris","BOS","SF,PF","10.2","3.9","1.5","0.2","0.6",".426",".761","1.3","81","29.0","1.0"
"Marvin Williams","CHA","SF,PF","10.2","5.5","1.3","0.7","0.8",".426",".842","1.8","79","29.0","0.8"
"DeMarre Carroll","BKN","SF,PF","10.1","4.8","1.4","0.4","0.9",".412",".734","1.7","75","25.0","1.0"
"Trevor Ariza","WAS","SG,SF","10.1","5.0","2.3","0.2","1.6",".401",".760","1.9","81","34.0","1.0"
"Robin Lopez","CHI","C","10.1","6.0","1.4","1.1","0.2",".511",".744","0.0","81","28.0","1.4"
"Terrence Ross","ORL","SG,SF","10.1","2.6","1.3","0.4","0.9",".419",".803","1.8","79","28.0","0.9"
"Taj Gibson","MIN","PF,C","10.1","6.1","1.1","0.8","0.7",".533",".725","0.1","79","26.0","1.2"
"Derrick Rose","MIN","PG","10.0","2.0","2.4","0.1","0.4",".457",".856","0.4","67","23.0","1.3"
"JaMychal Green","LAC","PF,C","10.0","7.7","1.2","0.5","0.6",".483",".792","0.8","80","30.0","1.4"
"Kevin Knox","NYK","SF,PF","10.0","5.7","1.3","0.8","0.5",".487",".720","0.5","82","0","1.0"
"Kelly Olynyk","MIA","PF,C","9.9","4.7","2.1","0.5","0.7",".488",".750","1.2","76","22.0","1.5"
"Jordan Clarkson","CLE","PG,SG","9.9","2.1","1.9","0.1","0.6",".428",".805","1.1","80","24.0","1.2"
"Markelle Fultz","ORL","PG,SG ","9.9","3.7","4.0","0.4","0.9",".463",".668","0.5","77","28.0","1.7"
"Marcin Gortat","LAC","C","9.8","9.4","1.6","1.1","0.5",".546",".664","0.0","80","28.0","1.5"
"E'Twaun Moore","NOR","SG,SF","9.8","2.4","2.3","0.4","0.8",".477",".722","1.2","77","26.0","1.0"
"Josh Richardson","MIA","PG,SG,SF","9.7","2.9","2.3","0.7","1.1",".427",".772","1.5","74","24.0","1.2"
"Ryan Anderson","MIA","PF,C","9.5","3.8","0.8","0.2","0.4",".408",".836","1.7","75","29.0","0.7"
"Michael Kidd-Gilchrist","CHA","SF","9.5","5.8","1.3","0.8","0.9",".481",".754","0.0","76","29.0","0.7"
"Kyle Kuzma","LAL","SF,PF","9.4","4.4","1.3","0.3","0.5",".458",".694","1.0","77","15.0","1.2"
"Marco Belinelli","SAS","SG,SF","9.3","2.2","1.8","0.1","0.7",".410",".884","1.3","75","23.0","1.0"
"Emmanuel Mudiay","NYK","PG","9.2","2.6","3.6","0.3","0.7",".372",".752","0.8","72","20.0","1.9"
"Greg Monroe","BKN","PF,C","9.2","5.5","1.7","0.5","0.7",".530",".747","0.0","79","23.0","1.3"
"Cody Zeller","CHA","PF,C","9.1","5.9","1.4","0.9","0.8",".546",".700","0.0","74","26.0","1.0"
"Willy Hernangomez","CHA","C","9.1","6.8","1.6","0.5","0.6",".527",".714","0.1","77","24.0","1.5"
"Maurice Harkless","POR","SF","9.0","4.4","1.1","0.8","1.0",".487",".655","1.0","79","29.0","1.0"
"Joe Ingles","UTH","SG,SF","9.0","3.7","3.4","0.2","1.3",".438",".741","1.9","81","27.5","1.7"
"Lonzo Ball","LAL","PG ","9.0","4.8","5.5","0.5","1.2",".427",".565","1.3","77","29.0","1.9"
"Al-Farouq Aminu","POR","SF,PF","8.9","7.7","1.4","0.7","1.0",".404",".728","1.5","76","29.0","1.3"
"Zach Randolph","DAL","PF,C ","8.8","4.9","1.1","0.1","0.4",".463",".755","0.3","76","24.0","0.9"
"Jaren Jackson Jr.","MEM","PF ","8.8","4.3","0.8","0.8","0.4",".482",".720","0.5","82","0","0.9"
"Rajon Rondo","LAL","PG","8.8","5.2","7.7","0.2","1.5",".436",".580","0.8","76","31.0","2.9"
"Ish Smith","DET","PG","8.8","2.8","4.5","0.4","0.8",".439",".696","0.4","78","21.0","1.4"
"Evan Turner","POR","SG,SF ","8.7","4.0","3.2","0.3","0.8",".431",".822","0.5","78","27.0","1.6"
"Tony Allen","FA","SG,SF","8.7","5.2","1.3","0.4","1.8",".460",".610","0.5","65","26.0","1.4"
"Dion Waiters","MIA","SG,SF","8.7","1.9","2.2","0.2","0.6",".413",".685","1.0","75","30.0","1.2"
"Kelly Oubre Jr.","PHO","SF","8.7","4.3","0.8","0.3","0.9",".418",".757","1.0","80","24.0","0.9"
"Austin Rivers","HOU","PG,SG","8.6","1.7","2.2","0.1","0.6",".428",".691","1.1","77","27.5","1.1"
"Justise Winslow","MIA","SF,PF,SG","8.5","5.4","2.3","0.4","1.0",".418",".679","0.6","79","30.0","1.4"
"Jonathon Simmons","PHI","SG,SF","8.5","2.5","2.0","0.3","0.6",".434",".753","0.6","77","20.0","1.3"
"Wendell Carter Jr.","CHI","C ","8.4","5.7","1.1","0.6","0.6",".475",".720","0.5","82","0","0.8"
"Marcus Smart","BOS","PG,SG","8.4","3.1","3.4","0.4","1.1",".373",".772","1.1","78","29.0","1.4"
"Kris Dunn","CHI","PG,SG","8.3","3.9","4.7","0.7","1.8",".397",".657","0.6","80","29.5","2.3"
